=====================================
Monospace 
=====================================
'Anonymous Pro', monospace
'Cousine', monospace
'Cutive Mono', monospace
'Droid Sans Mono', monospace
'Fira Mono', monospace
'Inconsolata', monospace
'Nova Mono', monospace
'Overpass Mono', monospace
'Oxygen Mono', monospace
'PT Mono', monospace
'Roboto Mono', monospace
'Share Tech Mono', monospace
'Source Code Pro', monospace
'Space Mono', monospace
'Ubuntu Mono', monospace
'VT323', monospace
=====================================
Handwriting
=====================================
'Aguafina Script', cursive
'Aladin', cursive
'Alex Brush', cursive
'Allura', cursive
'Amatic SC', cursive
'Amita', cursive
'Annie Use Your Telescope', cursive
'Architects Daughter', cursive
'Arizonia', cursive
'Bad Script', cursive
'Berkshire Swash', cursive
'Bilbo Swash Caps', cursive
'Bilbo', cursive
'Bonbon', cursive
'Butterfly Kids', cursive
'Calligraffitti', cursive
'Caveat Brush', cursive
'Caveat', cursive
'Cedarville Cursive', cursive
'Clicker Script', cursive
'Coming Soon', cursive
'Condiment', cursive
'Cookie', cursive
'Courgette', cursive
'Covered By Your Grace', cursive
'Crafty Girls', cursive
'Damion', cursive
'Dancing Script', cursive
'Dawning of a New Day', cursive
'Dekko', cursive
'Delius Swash Caps', cursive
'Delius Unicase', cursive
'Delius', cursive
'Devonshire', cursive
'Dr Sugiyama', cursive
'Eagle Lake', cursive
'Engagement', cursive
'Euphoria Script', cursive
'Felipa', cursive
'Fondamento', cursive
'Give You Glory', cursive
'Gloria Hallelujah', cursive
'Gochi Hand', cursive
'Grand Hotel', cursive
'Great Vibes', cursive
'Handlee', cursive
'Herr Von Muellerhoff', cursive
'Homemade Apple', cursive
'Indie Flower', cursive
'Italianno', cursive
'Itim', cursive
'Jim Nightshade', cursive
'Julee', cursive
'Just Another Hand', cursive
'Just Me Again Down Here', cursive
'Kalam', cursive
'Kaushan Script', cursive
'Kavivanar', cursive
'Kristi', cursive
'La Belle Aurore', cursive
'Lakki Reddy', cursive
'Lateef', cursive
'League Script', cursive
'Leckerli One', cursive
'Loved by the King', cursive
'Lovers Quarrel', cursive
'Marck Script', cursive
'Meddon', cursive
'Meie Script', cursive
'Merienda One', cursive
'Merienda', cursive
'Miss Fajardose', cursive
'Molle', cursive
'Monsieur La Doulaise', cursive
'Montez', cursive
'Mr Bedfort', cursive
'Mr Dafoe', cursive
'Mr De Haviland', cursive
'Mrs Saint Delafield', cursive
'Mrs Sheppards', cursive
'Neucha', cursive
'Niconne', cursive
'Norican', cursive
'Nothing You Could Do', cursive
'Over the Rainbow', cursive
'Pacifico', cursive
'Pangolin', cursive
'Parisienne', cursive
'Patrick Hand SC', cursive
'Patrick Hand', cursive
'Permanent Marker', cursive
'Petit Formal Script', cursive
'Pinyon Script', cursive
'Princess Sofia', cursive
'Quintessential', cursive
'Qwigley', cursive
'Rancho', cursive
'Redressed', cursive
'Reenie Beanie', cursive
'Rochester', cursive
'Rock Salt', cursive
'Romanesco', cursive
'Rouge Script', cursive
'Ruge Boogie', cursive
'Ruthie', cursive
'Sacramento', cursive
'Satisfy', cursive
'Schoolbell', cursive
'Sedgwick Ave Display', cursive
'Sedgwick Ave', cursive
'Shadows Into Light Two', cursive
'Shadows Into Light', cursive
'Short Stack', cursive
'Sofia', cursive
'Sriracha', cursive
'Stalemate', cursive
'Sue Ellen Francisco', cursive
'Sunshiney', cursive
'Swanky and Moo Moo', cursive
'Tangerine', cursive
'The Girl Next Door', cursive
'Tillana', cursive
'Vibur', cursive
'Waiting for the Sunrise', cursive
'Walter Turncoat', cursive
'Yellowtail', cursive
'Yesteryear', cursive
'Zeyada', cursive
=====================================
Display
=====================================
'Abril Fatface', cursive
'Akronim', cursive
'Alfa Slab One', cursive
'Allan', cursive
'Almendra Display', cursive
'Amarante', cursive
'Amatica SC', cursive
'Angkor', cursive
'Arbutus', cursive
'Arima Madurai', cursive
'Asset', cursive
'Astloch', cursive
'Atma', cursive
'Atomic Age', cursive
'Aubrey', cursive
'Audiowide', cursive
'Autour One', cursive
'Averia Gruesa Libre', cursive
'Averia Libre', cursive
'Averia Sans Libre', cursive
'Averia Serif Libre', cursive
'Bahiana', cursive
'Baloo Bhai', cursive
'Baloo Bhaina', cursive
'Baloo Chettan', cursive
'Baloo Da', cursive
'Baloo Paaji', cursive
'Baloo Tamma', cursive
'Baloo Thambi', cursive
'Baloo', cursive
'Bangers', cursive
'Barrio', cursive
'Battambang', cursive
'Baumans', cursive
'Bayon', cursive
'Bevan', cursive
'Bigelow Rules', cursive
'Bigshot One', cursive
'Black Ops One', cursive
'Bokor', cursive
'Boogaloo', cursive
'Bowlby One SC', cursive
'Bowlby One', cursive
'Bubblegum Sans', cursive
'Buda', cursive
'Bungee Hairline', cursive
'Bungee Inline', cursive
'Bungee Outline', cursive
'Bungee Shade', cursive
'Bungee', cursive
'Butcherman', cursive
'Cabin Sketch', cursive
'Caesar Dressing', cursive
'Carter One', cursive
'Ceviche One', cursive
'Changa One', cursive
'Chango', cursive
'Chela One', cursive
'Chelsea Market', cursive
'Chenla', cursive
'Cherry Cream Soda', cursive
'Cherry Swash', cursive
'Chewy', cursive
'Chicle', cursive
'Chonburi', cursive
'Cinzel Decorative', cursive
'Coda', cursive
'Codystar', cursive
'Coiny', cursive
'Combo', cursive
'Comfortaa', cursive
'Concert One', cursive
'Content', cursive
'Contrail One', cursive
'Corben', cursive
'Creepster', cursive
'Croissant One', cursive
'Crushed', cursive
'Dangrek', cursive
'Diplomata SC', cursive
'Diplomata', cursive
'Dynalight', cursive
'Eater', cursive
'Elsie Swash Caps', cursive
'Elsie', cursive
'Emblema One', cursive
'Emilys Candy', cursive
'Erica One', cursive
'Ewert', cursive
'Expletus Sans', cursive
'Farsan', cursive
'Fascinate Inline', cursive
'Fascinate', cursive
'Faster One', cursive
'Federant', cursive
'Finger Paint', cursive
'Flamenco', cursive
'Flavors', cursive
'Fontdiner Swanky', cursive
'Forum', cursive
'Freckle Face', cursive
'Fredericka the Great', cursive
'Fredoka One', cursive
'Freehand', cursive
'Frijole', cursive
'Fruktur', cursive
'Fugaz One', cursive
'Galada', cursive
'Galindo', cursive
'Geostar Fill', cursive
'Geostar', cursive
'Germania One', cursive
'Glass Antiqua', cursive
'Goblin One', cursive
'Gorditas', cursive
'Graduate', cursive
'Gravitas One', cursive
'Griffy', cursive
'Gruppo', cursive
'Hanalei Fill', cursive
'Hanalei', cursive
'Happy Monkey', cursive
'Henny Penny', cursive
'Iceberg', cursive
'Iceland', cursive
'Irish Grover', cursive
'Jacques Francois Shadow', cursive
'Jolly Lodger', cursive
'Jomhuria', cursive
'Joti One', cursive
'Katibeh', cursive
'Kavoon', cursive
'Kdam Thmor', cursive
'Keania One', cursive
'Kelly Slab', cursive
'Kenia', cursive
'Khmer', cursive
'Knewave', cursive
'Koulen', cursive
'Kranky', cursive
'Kumar One Outline', cursive
'Kumar One', cursive
'Lalezar', cursive
'Lancelot', cursive
'Lemon', cursive
'Lemonada', cursive
'Life Savers', cursive
'Lilita One', cursive
'Lily Script One', cursive
'Limelight', cursive
'Lobster Two', cursive
'Lobster', cursive
'Londrina Outline', cursive
'Londrina Shadow', cursive
'Londrina Sketch', cursive
'Londrina Solid', cursive
'Love Ya Like A Sister', cursive
'Luckiest Guy', cursive
'Macondo Swash Caps', cursive
'Macondo', cursive
'Maiden Orange', cursive
'Margarine', cursive
'McLaren', cursive
'MedievalSharp', cursive
'Medula One', cursive
'Megrim', cursive
'Metal Mania', cursive
'Metal', cursive
'Metamorphous', cursive
'Milonga', cursive
'Miltonian Tattoo', cursive
'Miltonian', cursive
'Miniver', cursive
'Mirza', cursive
'Modak', cursive
'Modern Antiqua', cursive
'Mogra', cursive
'Monofett', cursive
'Monoton', cursive
'Moul', cursive
'Moulpali', cursive
'Mountains of Christmas', cursive
'Mystery Quest', cursive
'New Rocker', cursive
'Nixie One', cursive
'Nosifer', cursive
'Nova Cut', cursive
'Nova Flat', cursive
'Nova Oval', cursive
'Nova Round', cursive
'Nova Script', cursive
'Nova Slim', cursive
'Nova Square', cursive
'Odor Mean Chey', cursive
'Offside', cursive
'Oldenburg', cursive
'Oleo Script Swash Caps', cursive
'Oleo Script', cursive
'Oregano', cursive
'Original Surfer', cursive
'Overlock SC', cursive
'Overlock', cursive
'Paprika', cursive
'Passero One', cursive
'Passion One', cursive
'Patua One', cursive
'Peralta', cursive
'Piedra', cursive
'Pirata One', cursive
'Plaster', cursive
'Playball', cursive
'Poiret One', cursive
'Poller One', cursive
'Pompiere', cursive
'Preahvihear', cursive
'Press Start 2P', cursive
'Prosto One', cursive
'Purple Purse', cursive
'Racing Sans One', cursive
'Rakkas', cursive
'Raleway Dots', cursive
'Rammetto One', cursive
'Ranchers', cursive
'Ranga', cursive
'Ravi Prakash', cursive
'Revalia', cursive
'Ribeye Marrow', cursive
'Ribeye', cursive
'Righteous', cursive
'Risque', cursive
'Ruslan Display', cursive
'Rye', cursive
